control_id,check_id,created_at,updated_at,is_deleted
655,cloudtrail_ac_14(1)_compliance,2025-08-12T14:18:23.057068,2025-08-12T14:18:23.057068,False
655,iam_ac_14(1)_compliance,2025-08-12T14:18:23.065104,2025-08-12T14:18:23.065104,False
655,s3_ac_14(1)_compliance,2025-08-12T14:18:23.073000,2025-08-12T14:18:23.073000,False
655,cloudwatch_ac_14(1)_compliance,2025-08-12T14:18:23.080907,2025-08-12T14:18:23.080907,False
998,github_ac_15_compliance,2025-08-12T14:18:23.088957,2025-08-12T14:18:23.088957,False
998,ec2_ac_15_compliance,2025-08-12T14:18:23.097794,2025-08-12T14:18:23.097794,False
998,cloudtrail_ac_15_compliance,2025-08-12T14:18:23.105970,2025-08-12T14:18:23.105970,False
998,iam_ac_15_compliance,2025-08-12T14:18:23.113804,2025-08-12T14:18:23.113804,False
998,s3_ac_15_compliance,2025-08-12T14:18:23.121676,2025-08-12T14:18:23.121676,False
998,cloudwatch_ac_15_compliance,2025-08-12T14:18:23.130251,2025-08-12T14:18:23.130251,False
449,github_ac_16_compliance,2025-08-12T14:18:23.138671,2025-08-12T14:18:23.138671,False
449,ec2_ac_16_compliance,2025-08-12T14:18:23.147006,2025-08-12T14:18:23.147006,False
449,cloudtrail_ac_16_compliance,2025-08-12T14:18:23.155556,2025-08-12T14:18:23.155556,False
449,iam_ac_16_compliance,2025-08-12T14:18:23.176460,2025-08-12T14:18:23.176460,False
449,s3_ac_16_compliance,2025-08-12T14:18:23.185417,2025-08-12T14:18:23.185417,False
449,cloudwatch_ac_16_compliance,2025-08-12T14:18:23.194075,2025-08-12T14:18:23.194075,False
508,github_ac_16(1)_compliance,2025-08-12T14:18:23.202692,2025-08-12T14:18:23.202692,False
508,ec2_ac_16(1)_compliance,2025-08-12T14:18:23.210856,2025-08-12T14:18:23.210856,False
508,cloudtrail_ac_16(1)_compliance,2025-08-12T14:18:23.218604,2025-08-12T14:18:23.218604,False
508,iam_ac_16(1)_compliance,2025-08-12T14:18:23.226421,2025-08-12T14:18:23.226421,False
508,s3_ac_16(1)_compliance,2025-08-12T14:18:23.234326,2025-08-12T14:18:23.234326,False
508,cloudwatch_ac_16(1)_compliance,2025-08-12T14:18:23.242749,2025-08-12T14:18:23.242749,False
317,github_ac_16(10)_compliance,2025-08-12T14:18:23.251198,2025-08-12T14:18:23.251198,False
317,ec2_ac_16(10)_compliance,2025-08-12T14:18:23.259327,2025-08-12T14:18:23.259327,False
317,cloudtrail_ac_16(10)_compliance,2025-08-12T14:18:23.268092,2025-08-12T14:18:23.268092,False
317,iam_ac_16(10)_compliance,2025-08-12T14:18:23.276221,2025-08-12T14:18:23.276221,False
317,s3_ac_16(10)_compliance,2025-08-12T14:18:23.284515,2025-08-12T14:18:23.284515,False
317,cloudwatch_ac_16(10)_compliance,2025-08-12T14:18:23.293383,2025-08-12T14:18:23.293383,False
823,github_ac_16(2)_compliance,2025-08-12T14:18:23.302051,2025-08-12T14:18:23.302051,False
823,ec2_ac_16(2)_compliance,2025-08-12T14:18:23.311573,2025-08-12T14:18:23.311573,False
823,cloudtrail_ac_16(2)_compliance,2025-08-12T14:18:23.320653,2025-08-12T14:18:23.320653,False
823,iam_ac_16(2)_compliance,2025-08-12T14:18:23.330411,2025-08-12T14:18:23.330411,False
823,s3_ac_16(2)_compliance,2025-08-12T14:18:23.340468,2025-08-12T14:18:23.340468,False
823,cloudwatch_ac_16(2)_compliance,2025-08-12T14:18:23.349804,2025-08-12T14:18:23.349804,False
937,github_ac_16(3)_compliance,2025-08-12T14:18:23.358788,2025-08-12T14:18:23.358788,False
937,ec2_ac_16(3)_compliance,2025-08-12T14:18:23.367421,2025-08-12T14:18:23.367421,False
937,cloudtrail_ac_16(3)_compliance,2025-08-12T14:18:23.376653,2025-08-12T14:18:23.376653,False
937,iam_ac_16(3)_compliance,2025-08-12T14:18:23.398445,2025-08-12T14:18:23.398445,False
937,s3_ac_16(3)_compliance,2025-08-12T14:18:23.408467,2025-08-12T14:18:23.408467,False
937,cloudwatch_ac_16(3)_compliance,2025-08-12T14:18:23.417913,2025-08-12T14:18:23.417913,False
247,github_ac_16(4)_compliance,2025-08-12T14:18:23.427680,2025-08-12T14:18:23.427680,False
247,ec2_ac_16(4)_compliance,2025-08-12T14:18:23.436656,2025-08-12T14:18:23.436656,False
247,cloudtrail_ac_16(4)_compliance,2025-08-12T14:18:23.445531,2025-08-12T14:18:23.445531,False
247,iam_ac_16(4)_compliance,2025-08-12T14:18:23.455556,2025-08-12T14:18:23.455556,False
247,s3_ac_16(4)_compliance,2025-08-12T14:18:23.465060,2025-08-12T14:18:23.465060,False
247,cloudwatch_ac_16(4)_compliance,2025-08-12T14:18:23.474352,2025-08-12T14:18:23.474352,False
508,github_ac_16(5)_compliance,2025-08-12T14:18:23.483585,2025-08-12T14:18:23.483585,False
508,ec2_ac_16(5)_compliance,2025-08-12T14:18:23.492769,2025-08-12T14:18:23.492769,False
508,cloudtrail_ac_16(5)_compliance,2025-08-12T14:18:23.501982,2025-08-12T14:18:23.501982,False
508,iam_ac_16(5)_compliance,2025-08-12T14:18:23.511638,2025-08-12T14:18:23.511638,False
508,s3_ac_16(5)_compliance,2025-08-12T14:18:23.521299,2025-08-12T14:18:23.521299,False
508,cloudwatch_ac_16(5)_compliance,2025-08-12T14:18:23.530420,2025-08-12T14:18:23.530420,False
722,github_ac_16(6)_compliance,2025-08-12T14:18:23.540296,2025-08-12T14:18:23.540296,False
722,ec2_ac_16(6)_compliance,2025-08-12T14:18:23.550461,2025-08-12T14:18:23.550461,False
722,cloudtrail_ac_16(6)_compliance,2025-08-12T14:18:23.559862,2025-08-12T14:18:23.559862,False
722,iam_ac_16(6)_compliance,2025-08-12T14:18:23.570526,2025-08-12T14:18:23.570526,False
722,s3_ac_16(6)_compliance,2025-08-12T14:18:23.580110,2025-08-12T14:18:23.580110,False
722,cloudwatch_ac_16(6)_compliance,2025-08-12T14:18:23.589586,2025-08-12T14:18:23.589586,False
145,github_ac_16(7)_compliance,2025-08-12T14:18:23.600268,2025-08-12T14:18:23.600268,False
145,ec2_ac_16(7)_compliance,2025-08-12T14:18:23.610760,2025-08-12T14:18:23.610760,False
145,cloudtrail_ac_16(7)_compliance,2025-08-12T14:18:23.621828,2025-08-12T14:18:23.621828,False
145,iam_ac_16(7)_compliance,2025-08-12T14:18:23.633960,2025-08-12T14:18:23.633960,False
145,s3_ac_16(7)_compliance,2025-08-12T14:18:23.645498,2025-08-12T14:18:23.645498,False
145,cloudwatch_ac_16(7)_compliance,2025-08-12T14:18:23.655828,2025-08-12T14:18:23.655828,False
39,github_ac_16(8)_compliance,2025-08-12T14:18:23.665760,2025-08-12T14:18:23.665760,False
39,ec2_ac_16(8)_compliance,2025-08-12T14:18:23.676075,2025-08-12T14:18:23.676075,False
39,cloudtrail_ac_16(8)_compliance,2025-08-12T14:18:23.686127,2025-08-12T14:18:23.686127,False
39,iam_ac_16(8)_compliance,2025-08-12T14:18:23.695970,2025-08-12T14:18:23.695970,False
39,s3_ac_16(8)_compliance,2025-08-12T14:18:23.706984,2025-08-12T14:18:23.706984,False
39,cloudwatch_ac_16(8)_compliance,2025-08-12T14:18:23.717691,2025-08-12T14:18:23.717691,False
717,github_ac_16(9)_compliance,2025-08-12T14:18:23.728146,2025-08-12T14:18:23.728146,False
717,ec2_ac_16(9)_compliance,2025-08-12T14:18:23.739135,2025-08-12T14:18:23.739135,False
717,cloudtrail_ac_16(9)_compliance,2025-08-12T14:18:23.749794,2025-08-12T14:18:23.749794,False
717,iam_ac_16(9)_compliance,2025-08-12T14:18:23.763191,2025-08-12T14:18:23.763191,False
717,s3_ac_16(9)_compliance,2025-08-12T14:18:23.776343,2025-08-12T14:18:23.776343,False
717,cloudwatch_ac_16(9)_compliance,2025-08-12T14:18:23.787112,2025-08-12T14:18:23.787112,False
951,github_ac_17_compliance,2025-08-12T14:18:23.798873,2025-08-12T14:18:23.798873,False
951,ec2_ac_17_compliance,2025-08-12T14:18:23.810667,2025-08-12T14:18:23.810667,False
951,cloudtrail_ac_17_compliance,2025-08-12T14:18:23.822340,2025-08-12T14:18:23.822340,False
951,iam_ac_17_compliance,2025-08-12T14:18:23.834077,2025-08-12T14:18:23.834077,False
951,s3_ac_17_compliance,2025-08-12T14:18:23.845500,2025-08-12T14:18:23.845500,False
951,cloudwatch_ac_17_compliance,2025-08-12T14:18:23.857456,2025-08-12T14:18:23.857456,False
969,github_ac_17(1)_compliance,2025-08-12T14:18:23.868289,2025-08-12T14:18:23.868289,False
969,ec2_ac_17(1)_compliance,2025-08-12T14:18:23.878550,2025-08-12T14:18:23.878550,False
969,cloudtrail_ac_17(1)_compliance,2025-08-12T14:18:23.890276,2025-08-12T14:18:23.890276,False
969,iam_ac_17(1)_compliance,2025-08-12T14:18:23.901929,2025-08-12T14:18:23.901929,False
969,s3_ac_17(1)_compliance,2025-08-12T14:18:23.912589,2025-08-12T14:18:23.912589,False
969,cloudwatch_ac_17(1)_compliance,2025-08-12T14:18:23.923996,2025-08-12T14:18:23.923996,False
234,github_ac_17(10)_compliance,2025-08-12T14:18:23.935080,2025-08-12T14:18:23.935080,False
234,ec2_ac_17(10)_compliance,2025-08-12T14:18:23.946774,2025-08-12T14:18:23.946774,False
234,cloudtrail_ac_17(10)_compliance,2025-08-12T14:18:23.958965,2025-08-12T14:18:23.958965,False
234,iam_ac_17(10)_compliance,2025-08-12T14:18:23.970358,2025-08-12T14:18:23.970358,False
234,s3_ac_17(10)_compliance,2025-08-12T14:18:23.981967,2025-08-12T14:18:23.981967,False
234,cloudwatch_ac_17(10)_compliance,2025-08-12T14:18:23.993532,2025-08-12T14:18:23.993532,False
64,github_ac_17(2)_compliance,2025-08-12T14:18:24.004792,2025-08-12T14:18:24.004792,False
64,ec2_ac_17(2)_compliance,2025-08-12T14:18:24.017522,2025-08-12T14:18:24.017522,False
64,cloudtrail_ac_17(2)_compliance,2025-08-12T14:18:24.033847,2025-08-12T14:18:24.033847,False
64,iam_ac_17(2)_compliance,2025-08-12T14:18:24.045892,2025-08-12T14:18:24.045892,False
64,s3_ac_17(2)_compliance,2025-08-12T14:18:24.057166,2025-08-12T14:18:24.057166,False
64,cloudwatch_ac_17(2)_compliance,2025-08-12T14:18:24.068593,2025-08-12T14:18:24.068593,False
268,github_ac_17(3)_compliance,2025-08-12T14:18:24.081064,2025-08-12T14:18:24.081064,False
268,ec2_ac_17(3)_compliance,2025-08-12T14:18:24.093079,2025-08-12T14:18:24.093079,False
268,cloudtrail_ac_17(3)_compliance,2025-08-12T14:18:24.104693,2025-08-12T14:18:24.104693,False
268,iam_ac_17(3)_compliance,2025-08-12T14:18:24.117365,2025-08-12T14:18:24.117365,False
268,s3_ac_17(3)_compliance,2025-08-12T14:18:24.129269,2025-08-12T14:18:24.129269,False
268,cloudwatch_ac_17(3)_compliance,2025-08-12T14:18:24.142811,2025-08-12T14:18:24.142811,False
136,github_ac_17(4)_compliance,2025-08-12T14:18:24.161777,2025-08-12T14:18:24.161777,False
136,ec2_ac_17(4)_compliance,2025-08-12T14:18:24.175765,2025-08-12T14:18:24.175765,False
136,cloudtrail_ac_17(4)_compliance,2025-08-12T14:18:24.188354,2025-08-12T14:18:24.188354,False
136,iam_ac_17(4)_compliance,2025-08-12T14:18:24.200766,2025-08-12T14:18:24.200766,False
136,s3_ac_17(4)_compliance,2025-08-12T14:18:24.212755,2025-08-12T14:18:24.212755,False
136,cloudwatch_ac_17(4)_compliance,2025-08-12T14:18:24.224628,2025-08-12T14:18:24.224628,False
479,github_ac_17(5)_compliance,2025-08-12T14:18:24.237113,2025-08-12T14:18:24.237113,False
479,ec2_ac_17(5)_compliance,2025-08-12T14:18:24.249094,2025-08-12T14:18:24.249094,False
479,cloudtrail_ac_17(5)_compliance,2025-08-12T14:18:24.260972,2025-08-12T14:18:24.260972,False
479,iam_ac_17(5)_compliance,2025-08-12T14:18:24.273608,2025-08-12T14:18:24.273608,False
479,s3_ac_17(5)_compliance,2025-08-12T14:18:24.285734,2025-08-12T14:18:24.285734,False
479,cloudwatch_ac_17(5)_compliance,2025-08-12T14:18:24.297784,2025-08-12T14:18:24.297784,False
654,github_ac_17(6)_compliance,2025-08-12T14:18:24.310057,2025-08-12T14:18:24.310057,False
654,ec2_ac_17(6)_compliance,2025-08-12T14:18:24.321394,2025-08-12T14:18:24.321394,False
